iter	Passed	Remaining
1497	51247	51384
1498	51263	51331
1499	51300	51300
1500	51394	51325
1501	51416	51279
1502	51434	51229
1503	51455	51181
1504	51472	51130
1505	51575	51164
1506	51607	51127
1507	51634	51087
1508	51656	51040
1509	51675	50990
1510	51693	50940
1511	51709	50888
1512	51819	50928
1513	51846	50888
1514	51871	50844
1515	51890	50795
1516	51909	50746
1517	51927	50695
1518	51944	50644
1519	52034	50665
1520	52080	50642
1521	52107	50600
1522	52127	50552
1523	52146	50504
1524	52165	50455
1525	52183	50405
1526	52286	50437
1527	52304	50387
1528	52321	50336
1529	52413	50358
1530	52496	50370
1531	52526	50331
1532	52547	50285
1533	52563	50233
1534	52614	50215
1535	52687	50217
1536	52709	50172
1537	52729	50124
1538	52749	50075
1539	52765	50024
1540	52781	49973
1541	52894	50013
1542	52918	49968
1543	52936	49919
1544	52955	49871
1545	52972	49820
1546	53000	49779
1547	53107	49813
1548	53131	49769
1549	53152	49723
1550	53172	49676
1551	53190	49626
1552	53204	49573
1553	53222	49523
1554	53342	49568
1555	53367	49526
1556	53389	49480
1557	53409	49433
1558	53428	49384
1559	53444	49332
1560	53460	49282
1561	53578	49325
1562	53606	49284
1563	53627	49238
1564	53647	49190
1565	53665	49141
1566	53682	49091
1567	53698	49040
1568	53812	49079
1569	53834	49034
1570	53857	48989
1571	53875	48940
1572	53891	48889
1573	53908	48839
1574	53923	48787
1575	53980	48773
1576	54052	48774
1577	54075	48729
1578	54095	48682
1579	54114	48634
1580	54130	48583
1581	54146	48533
1582	54163	48483
1583	54267	48511
1584	54291	48468
1585	54308	48418
1586	54325	48369
1587	54343	48320
1588	54453	48353
1589	54475	48308
1590	54494	48260
1591	54513	48212
1592	54529	48162
1593	54544	48111
1594	54653	48142
1595	54698	48117
1596	54728	48079
1597	54750	48035
1598	54770	47988
1599	54786	47938
1600	54903	47976
1601	54931	47936
1602	54949	47887
1603	54966	47838
1604	54983	47789
1605	54997	47737
1606	55012	47687
1607	55039	47646
1608	55139	47668
1609	55155	47618
1610	55172	47569
1611	55187	47518
1612	55200	47466
1613	55212	47413
1614	55224	47359
1615	55346	47400
1616	55381	47367
1617	55398	47318
1618	55414	47268
1619	55428	47217
1620	55540	47248
1621	55565	47206
1622	55581	47157
1623	55599	47109
1624	55614	47058
1625	55628	47007
1626	55642	46955
1627	55756	46989
1628	55778	46944
1629	55800	46899
1630	55816	46850
1631	55831	46799
1632	55846	46749
1633	55952	46775
1634	55973	46730
1635	55991	46682
1636	56005	46631
1637	56018	46579
1638	56045	46539
1639	56160	46572
1640	56182	46527
1641	56199	46478
1642	56213	46428
1643	56227	46377
1644	56242	46327
1645	56255	46276
1646	56296	46247
1647	56394	46265
1648	56417	46221
1649	56434	46173
1650	56451	46125
1651	56466	46075
1652	56481	46025
1653	56496	45975
1654	56605	46002
1655	56630	45960
1656	56649	45914
1657	56667	45867
1658	56686	45820
1659	56703	45772
